ShanghaiEMPLOYMENT£¬STAFF AND WORKERS,,,,,,,,,,
,,,,,,,,,,
Year,Total Number of Employed Persons(10000 persons),Employed Persons by,,Employed Persons by Industry,,,Staffand Workers(10000 persons),,,
,,Urban and Rural Areas,,Primary Industry(10000 persons),Secondary Industry(10000 persons),Tertiary Industry(10000 persons),,State-owned Units(10000 persons),Urban Collective Owned Units(10000 persons),Other Ownership Units(10000 persons)
,,UrbanAreas(10000 persons),RuralAreas(10000 persons),,,,,,,
  1949,249.81,128.27,121.54,121.67,57.1,71.04,98.27,98.27,,
  1950,259.7,135.12,124.58,124.74,59.24,75.72,105.12,105.12,,
  1951,279.84,151.76,128.08,128.26,71.55,80.03,121.76,121.76,,
  1952,307.29,176.68,130.61,130.87,91.06,85.36,141.38,132.64,8.74,
  1953,317.17,186.54,130.63,130.99,98.32,87.86,151.84,140.85,10.99,
  1954,323.83,190.78,133.05,129.85,104.6,89.38,156.55,142.25,14.3,
  1955,321.16,185.63,135.53,127.18,105.34,88.64,153.79,138.85,14.94,
  1956,354.18,217.92,136.26,133.17,123.96,97.05,195.83,172.8,23.03,
  1957,365.53,231.5,134.03,132.08,133.14,100.31,211.78,174.66,37.12,
  1958,400.51,262.22,138.29,143.38,150.99,106.14,253.87,223.29,30.58,
  1959,407.38,274.34,133.04,146.66,153.58,107.14,267.54,224.98,42.56,
  1960,432.76,293.85,138.91,165.75,157.96,109.05,285.95,223.43,62.52,
  1961,412.87,268.81,144.06,165.97,146.16,100.74,264.4,206.98,57.42,
  1962,403.06,242.11,160.95,163.01,142.02,98.03,233.33,188.2,45.13,
  1963,412.95,246.01,166.94,168.07,144.53,100.35,239.07,192.03,47.04,
  1964,438.31,264.21,174.1,178.83,152.97,106.51,256.54,201.65,54.89,
  1965,460.76,277.18,183.58,188.7,160.68,111.38,272.13,212.37,59.76,
  1966,462.62,277.17,185.45,189.67,161.92,111.03,273.75,213.36,60.39,
  1967,478.39,282.47,195.92,195.66,170.31,112.42,280.15,219.13,61.02,
  1968,516.44,306.13,210.31,201.41,197.8,117.23,304.56,242.9,61.66,
  1969,536.7,310.48,226.22,201.26,219.51,115.93,309.42,247.11,62.31,
  1970,540.87,308.22,232.65,199.65,229.59,111.63,307.5,244.53,62.97,
  1971,560.29,322.03,238.26,202.98,239.25,118.06,321.31,252.8,68.51,
  1972,576.74,333.51,243.23,208.62,249.25,118.87,332.79,261.26,71.53,
  1973,589.52,341.25,248.27,214.69,254.37,120.46,340.53,266.86,73.67,
  1974,610.16,351.4,258.76,220.78,263.62,125.76,350.68,273.36,77.32,
  1975,646.88,377.81,269.07,237,277.19,132.69,376.53,293.84,82.69,
  1976,669.56,400.55,269.01,241.25,287.53,140.78,399.27,312.26,87.01,
  1977,679.65,409.5,270.15,243.95,295.41,140.29,408.22,320.76,87.46,
  1978,698.32,423.64,274.68,240.06,307.48,150.78,422.81,336.3,86.51,
  1979,712.59,438.29,274.3,224.85,330.88,156.86,432.05,340.99,91.06,
  1980,730.77,448.39,282.38,212.05,354.83,163.89,446.92,351.9,95.02,
  1981,750.22,470.63,279.59,204.86,374.86,170.5,464.45,363.77,100.68,
  1982,764.03,485.14,278.89,194.36,388.52,181.15,475.16,371.2,103.96,
  1983,768.9,494.84,274.06,176.62,405.48,186.8,483.01,377.52,105.49,
  1984,769.79,501.74,268.05,150.59,423.8,195.4,487.44,376.08,107.45,3.91
  1985,775.53,499.58,275.95,126.78,445.38,203.37,492.55,383.34,106.03,3.18
  1986,782.99,507.38,275.61,111.48,457.42,214.09,500.22,392.1,104.44,3.68
  1987,788.12,515.26,272.86,102.51,463.59,222.02,505.36,399.21,103.07,3.08
  1988,792.13,520.87,271.26,93.17,467.56,231.4,509.76,405.16,99.59,5.01
  1989,784.96,517.77,267.19,88.71,463.81,232.44,505.79,393.76,104.81,7.22
  1990,787.72,519.44,268.28,87.25,467.08,233.39,508.1,397.21,101.6,9.29
  1991,798.13,532.32,265.81,82.59,471.23,244.31,517.73,403.5,101.38,12.85
  1992,806.91,536.24,270.67,77.4,470.77,258.74,511.16,396.58,97.88,16.7
  1993,853.11,521.28,331.83,98.58,494.68,259.85,490.35,352.47,84.69,53.19
  1994,763.2,521.06,328.98,68.5,405.4,289.2,478.65,339.86,82.17,56.62
  1995,768,537.6,230.4,71,395,302.1,470.56,324.19,80.93,65.44
  1996,764.3,537.3,227,70.8,372.9,320.6,456.75,312.53,76.9,67.32
  1997,847.25,534.91,312.34,107.67,416.04,323.54,435.27,292.8,71.22,71.25
  1998,670,446.8,223.2,80,293,297.3,348.5,222.4,40.1,93.73
  1999,677.32,419.65,257.7,93.51,299.83,283.98,327.07,202.06,33.14,103.39
  2000,673.11,417.51,255.6,87.97,288.34,296.81,307.03,180.99,26.57,113.45
  2001,692.38,437.42,255,86.63,288.67,317.08,289.97,163.68,21.53,120.57
  2002,742.8,489.3,253.5,84.2,306,352.5,292.64,152.5,18.8,136.31
  2003,771.53,521.48,250.05,73.72,316.51,381.32,279.25,140.71,15.54,123
  2004,812.3,564.25,248.05,67.33,320.97,424,264.41,126.45,12.66,125.31
  2005,855.86,612.37,243.49,61.09,331.3,463.47,264.83,120.32,10.98,133.53
  2006,885.51,615.45,,55.33,327.63,502.55,264.47,116.67,10.08,138
  2007,876.58,657.82,218.76,53.76,348.53,474.29,293.13,116.56,9.72,166.9
  2008,896,682.17,211.1,49.39,352.14,494.47,305.37,118.26,8.52,178.6
  2009,929.24,723.52,205.72,47.57,347.45,534.22,310.01,119.24,7.57,183.2
  2010,924.7,736,188.7,36.3,347.4,540.9,317.8,122.44,6.83,188.52
  2011,"1,104.33",,,37.28,445.08,621.97,453.33,,,
  2012,"1,115.50",,,45.7,439.96,629.84,511.16,129.95,10.48,370.73
  2013,"1,137.35",,,46.36,446.09,644.9,,,,
        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        
Provided by :   All China Marketing Resarch,,,,,,,,,,
